"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","type"
"15216","70","text","0","15219","0.0-0.0",""
"17630","70","text","1","33851","0.0-1.0",""
"9263.446712018136","70","single-audio","2","45221","0.0-2.0-0.0","beep_500"
"2599.3197278911566","70","single-audio","3","48740","0.0-2.0-1.0","beep_1000"
"788.1632653061246","70","single-audio","4","51111","0.0-2.0-2.0","beep_0"
"1745.986394557825","70","single-audio","5","54725","0.0-2.0-3.0","beep_1000"
"1624.0816326530592","70","single-audio","6","57377","0.0-2.0-4.0","beep_500"
"2268.435374149654","70","single-audio","7","61816","0.0-2.0-5.0","beep_0"
"1461","91","text","8","65428","0.0-3.0",""
