"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","type"
"1662","70","text","0","1665","0.0-0.0",""
"541","70","text","1","3209","0.0-1.0",""
"376.0090702947849","70","single-audio","2","5687","0.0-2.0-0.0","female"
"1002.9478458049903","70","single-audio","3","8333","0.0-2.0-1.0","male"
"225.079365079365","70","single-audio","4","9780","0.0-2.0-2.0","beeps"
"172.83446712018247","70","single-audio","5","12118","0.0-2.0-3.0","female"
"764.9433106575963","70","single-audio","6","14582","0.0-2.0-4.0","male"
"561.7687074829903","70","single-audio","7","16164","0.0-2.0-5.0","beeps"
"5385","91","text","8","22886","0.0-3.0",""
