"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","type"
"573","70","text","0","577","0.0-0.0",""
"1060","70","text","1","2639","0.0-1.0",""
"312.15419501133823","70","single-audio","2","5057","0.0-2.0-0.0","beeps"
"201.85941043083844","70","single-audio","3","7541","0.0-2.0-1.0","male"
"225.079365079365","70","single-audio","4","9681","0.0-2.0-2.0","beeps"
"405.0340136054427","70","single-audio","5","11385","0.0-2.0-3.0","female"
"346.98412698412716","70","single-audio","6","13848","0.0-2.0-4.0","female"
"393.4240362811785","70","single-audio","7","15926","0.0-2.0-5.0","male"
"8056","70","text","8","24817","0.0-3.0",""
